Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
60030 Restaurant and food service managers,"4,625","2,255","2,375"
60031 Accommodation service managers,"1,205",620,580
6004 Managers in customer and personal services,"1,040",485,555
60040 Managers in customer and personal services,"1,040",485,555
62 Retail sales and service supervisors and specialized occupations in sales and services,"12,400","6,325","6,070"
620 Retail sales and service supervisors,"7,520","3,075","4,445"
6201 Retail sales supervisors,"2,615","1,050","1,570"
62010 Retail sales supervisors,"2,615","1,050","1,570"
6202 Service supervisors,"4,900","2,030","2,875"
62020 Food service supervisors,"2,915","1,075","1,850"
62021 Executive housekeepers,135,20,115
"62022 Accommodation, travel, tourism and related services supervisors",240,125,120
62023 Customer and information services supervisors,520,185,330
62024 Cleaning supervisors,715,390,325
62029 Other services supervisors,375,235,145
621 Specialized sales occupations,"2,990","2,015",975
6210 Technical sales specialists in wholesale trade and retail and wholesale buyers,"2,990","2,015",975
62100 Technical sales specialists - wholesale trade,"1,825","1,465",360
62101 Retail and wholesale buyers,"1,170",550,615
622 Specialized services occupations,"1,890","1,240",650
6220 Specialized occupations in services,"1,890","1,240",650
62200 Chefs,"1,560","1,050",515
62201 Funeral directors and embalmers,275,170,110
"62202 Jewellers, jewellery and watch repairers and related occupations",55,25,30
63 Occupations in sales and services,"22,625","8,935","13,685"
631 Occupations in sales,"6,890","3,005","3,890"
"6310 Insurance, real estate and financial sales occupations","6,890","3,005","3,890"
63100 Insurance agents and brokers,"3,090","1,150","1,935"
63101 Real estate agents and salespersons,"2,040","1,295",745
63102 Financial sales representatives,"1,765",560,"1,205"
632 Occupations in services,"15,730","5,935","9,800"
"6320 Cooks, butchers and bakers","10,000","5,110","4,890"
63200 Cooks,"7,995","4,320","3,675"
63201 Butchers - retail and wholesale,265,220,50
63202 Bakers,"1,740",570,"1,170"
6321 Hairstylists and estheticians,"5,435",620,"4,810"
63210 Hairstylists and barbers,"3,445",425,"3,025"
"63211 Estheticians, electrologists and related occupations","1,990",195,"1,790"
"6322 Shoe repairers, shoemakers and upholsterers",295,200,95
63220 Shoe repairers and shoemakers,50,30,15
63221 Upholsterers,250,170,80
64 Sales and service representatives and other customer and personal services occupations,"50,435","23,165","27,270"
641 Retail salespersons and non-technical wholesale trade sales and account representatives,"25,840","12,400","13,440"
6410 Retail salespersons and non-technical wholesale trade sales and account representatives,"25,840","12,400","13,440"
64100 Retail salespersons and visual merchandisers,"23,545","10,770","12,775"
64101 Sales and account representatives - wholesale trade (non-technical),"2,290","1,625",665
642 Occupations in personal service,505,45,450
6420 Occupations in personal service,505,45,450
"64200 Tailors, dressmakers, furriers and milliners",425,35,390
"64201 Image, social and other personal consultants",75,10,65
