Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
6510 Cashiers and other sales support occupations,"12,735","4,495","8,245"
65100 Cashiers,"8,780","1,930","6,855"
65101 Service station attendants,265,240,25
"65102 Store shelf stockers, clerks and order fillers","3,515","2,275","1,240"
65109 Other sales related occupations,170,45,125
"652 Support occupations in food, accommodation and tourism","9,030","3,015","6,020"
6520 Food support occupations,"7,945","2,575","5,370"
65200 Food and beverage servers,"1,605",320,"1,290"
"65201 Food counter attendants, kitchen helpers and related support occupations","6,115","2,050","4,065"
65202 Meat cutters and fishmongers - retail and wholesale,230,200,25
"6521 Support occupations in accommodation, travel, tourism and amusement services",675,410,265
"65210 Support occupations in accommodation, travel and facilities set-up services",35,20,10
"65211 Operators and attendants in amusement, recreation and sport",635,390,250
6522 Support occupations in personal services,410,30,380
65220 Pet groomers and animal care workers,400,30,370
65229 Other support occupations in personal services,15,0,15
653 Support occupations in cleaning and related services,"8,020","3,285","4,740"
6531 Cleaners,"7,320","2,980","4,345"
65310 Light duty cleaners,"4,475","1,315","3,160"
65311 Specialized cleaners,535,500,35
"65312 Janitors, caretakers and heavy-duty cleaners","2,315","1,160","1,150"
6532 Service support and related occupations,700,305,395
"65320 Dry cleaning, laundry and related occupations",295,65,225
65329 Other service support occupations,405,240,165
"7 Trades, transport and equipment operators and related occupations","54,575","50,230","4,345"
70 Middle management occupations in trades and transportation,"2,595","2,170",430
700 Middle management occupations in trades and transportation,"2,595","2,170",430
7001 Managers in construction and facility operation and maintenance,"2,035","1,770",270
70010 Construction managers,805,740,65
70011 Home building and renovation managers,320,305,15
70012 Facility operation and maintenance managers,915,730,185
7002 Managers in transportation and postal and courier services,560,395,160
70020 Managers in transportation,500,370,125
70021 Postal and courier services managers,60,25,35
72 Technical trades and transportation officers and controllers,"23,190","22,185","1,005"
720 Technical trades contractors and supervisors,"2,990","2,575",410
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers","1,380","1,350",30
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",180,170,10
"72011 Contractors and supervisors, electrical trades and telecommunications occupations",430,415,15
"72012 Contractors and supervisors, pipefitting trades",75,75,0
"72013 Contractors and supervisors, carpentry trades",320,320,0
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers",375,375,0
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators","1,605","1,225",385
"72020 Contractors and supervisors, mechanic trades",285,265,15
"72021 Contractors and supervisors, heavy equipment operator crews",805,775,30
"72022 Supervisors, printing and related occupations",10,0,0
"72023 Supervisors, railway transport operations",10,0,0
"72024 Supervisors, motor transport and other ground transit operators",150,110,40
"72025 Supervisors, mail and message distribution occupations",355,60,290
721 Technical industrial trades,"2,585","2,505",85
"7210 Machining, metal forming, shaping and erecting trades","2,585","2,505",85
72100 Machinists and machining and tooling inspectors,160,160,0
72101 Tool and die makers,15,10,0
72102 Sheet metal workers,275,265,10
72103 Boilermakers,130,120,10
72104 Structural metal and platework fabricators and fitters,45,45,0
72105 Ironworkers,495,475,25
72106 Welders and related machine operators,"1,460","1,425",35
722 Technical electrical trades,"3,315","3,225",90
7220 Technical electrical trades and electrical power line and telecommunications workers,"3,315","3,225",90
72200 Electricians (except industrial and power system),"1,710","1,670",40
72201 Industrial electricians,655,625,30
72202 Power system electricians,145,145,0
72203 Electrical power line and cable workers,415,410,0
