Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
65 Sales and service support occupations,"9,280","3,130","6,150"
651 Sales support occupations,"3,195","1,190","2,005"
6510 Cashiers and other sales support occupations,"3,195","1,190","2,005"
65100 Cashiers,"2,050",445,"1,605"
65101 Service station attendants,85,65,25
"65102 Store shelf stockers, clerks and order fillers",945,630,320
65109 Other sales related occupations,110,50,55
"652 Support occupations in food, accommodation and tourism","3,550","1,070","2,480"
6520 Food support occupations,"3,105",855,"2,250"
65200 Food and beverage servers,680,140,540
"65201 Food counter attendants, kitchen helpers and related support occupations","2,395",690,"1,710"
65202 Meat cutters and fishmongers - retail and wholesale,30,30,0
"6521 Support occupations in accommodation, travel, tourism and amusement services",345,210,135
"65210 Support occupations in accommodation, travel and facilities set-up services",0,0,0
"65211 Operators and attendants in amusement, recreation and sport",335,205,130
6522 Support occupations in personal services,100,0,100
65220 Pet groomers and animal care workers,100,0,100
65229 Other support occupations in personal services,0,0,0
653 Support occupations in cleaning and related services,"2,535",865,"1,665"
6531 Cleaners,"2,305",790,"1,510"
65310 Light duty cleaners,"1,585",390,"1,195"
65311 Specialized cleaners,145,115,35
"65312 Janitors, caretakers and heavy-duty cleaners",570,285,285
6532 Service support and related occupations,230,80,155
"65320 Dry cleaning, laundry and related occupations",115,20,95
65329 Other service support occupations,115,60,55
"7 Trades, transport and equipment operators and related occupations","15,570","14,380","1,185"
70 Middle management occupations in trades and transportation,865,765,100
700 Middle management occupations in trades and transportation,865,765,100
7001 Managers in construction and facility operation and maintenance,735,655,80
70010 Construction managers,195,185,0
70011 Home building and renovation managers,215,215,0
70012 Facility operation and maintenance managers,325,250,70
7002 Managers in transportation and postal and courier services,135,115,15
70020 Managers in transportation,130,110,15
70021 Postal and courier services managers,0,0,0
72 Technical trades and transportation officers and controllers,"6,445","6,205",240
720 Technical trades contractors and supervisors,870,795,75
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers",480,480,0
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",40,40,0
"72011 Contractors and supervisors, electrical trades and telecommunications occupations",125,125,0
"72012 Contractors and supervisors, pipefitting trades",30,30,0
"72013 Contractors and supervisors, carpentry trades",110,110,0
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers",170,170,0
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators",390,315,75
"72020 Contractors and supervisors, mechanic trades",80,70,10
"72021 Contractors and supervisors, heavy equipment operator crews",215,200,20
"72022 Supervisors, printing and related occupations",0,0,0
"72023 Supervisors, railway transport operations",0,0,0
"72024 Supervisors, motor transport and other ground transit operators",30,25,15
"72025 Supervisors, mail and message distribution occupations",55,20,35
721 Technical industrial trades,710,670,35
"7210 Machining, metal forming, shaping and erecting trades",710,670,35
