Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",295,270,25
"72011 Contractors and supervisors, electrical trades and telecommunications occupations",375,355,20
"72012 Contractors and supervisors, pipefitting trades",125,120,10
"72013 Contractors and supervisors, carpentry trades",360,350,0
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers",825,780,50
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators","2,175","1,835",345
"72020 Contractors and supervisors, mechanic trades",505,495,10
"72021 Contractors and supervisors, heavy equipment operator crews","1,160","1,090",75
"72022 Supervisors, printing and related occupations",15,10,0
"72023 Supervisors, railway transport operations",30,30,0
