Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
6432 Tourism and amusement services occupations,435,245,190
64320 Tour and travel guides,55,30,30
64321 Casino workers,245,105,145
64322 Outdoor sport and recreational guides,135,115,20
"644 Occupations in customer, information and protective services","12,135","5,405","6,735"
6440 Customer and information services representatives,"7,620","2,145","5,475"
64400 Customer services representatives - financial institutions,"2,030",205,"1,825"
64401 Postal services representatives,270,60,215
64409 Other customer and information services representatives,"5,315","1,875","3,440"
6441 Security guards and related security service occupations,"4,515","3,265","1,260"
64410 Security guards and related security service occupations,"4,515","3,265","1,260"
65 Sales and service support occupations,"60,720","22,160","38,555"
651 Sales support occupations,"20,990","8,460","12,525"
6510 Cashiers and other sales support occupations,"20,990","8,460","12,525"
65100 Cashiers,"11,240","2,665","8,580"
65101 Service station attendants,"1,695","1,230",465
"65102 Store shelf stockers, clerks and order fillers","7,220","4,345","2,870"
65109 Other sales related occupations,830,225,605
"652 Support occupations in food, accommodation and tourism","21,310","6,670","14,645"
6520 Food support occupations,"18,820","5,710","13,110"
65200 Food and beverage servers,"4,460",755,"3,705"
"65201 Food counter attendants, kitchen helpers and related support occupations","13,980","4,635","9,345"
65202 Meat cutters and fishmongers - retail and wholesale,375,320,60
"6521 Support occupations in accommodation, travel, tourism and amusement services","1,550",845,705
"65210 Support occupations in accommodation, travel and facilities set-up services",60,55,10
"65211 Operators and attendants in amusement, recreation and sport","1,490",795,690
6522 Support occupations in personal services,945,115,835
65220 Pet groomers and animal care workers,840,105,735
65229 Other support occupations in personal services,105,10,95
653 Support occupations in cleaning and related services,"18,415","7,030","11,385"
6531 Cleaners,"16,750","6,350","10,400"
65310 Light duty cleaners,"9,530","2,075","7,460"
65311 Specialized cleaners,"2,000","1,610",390
"65312 Janitors, caretakers and heavy-duty cleaners","5,225","2,670","2,550"
6532 Service support and related occupations,"1,670",685,985
"65320 Dry cleaning, laundry and related occupations",835,240,595
65329 Other service support occupations,835,445,385
"7 Trades, transport and equipment operators and related occupations","114,350","104,545","9,805"
70 Middle management occupations in trades and transportation,"7,635","6,395","1,240"
700 Middle management occupations in trades and transportation,"7,635","6,395","1,240"
7001 Managers in construction and facility operation and maintenance,"6,460","5,500",960
70010 Construction managers,"2,605","2,305",300
70011 Home building and renovation managers,"1,335","1,205",135
70012 Facility operation and maintenance managers,"2,525","1,995",530
7002 Managers in transportation and postal and courier services,"1,175",895,285
70020 Managers in transportation,"1,015",825,190
70021 Postal and courier services managers,155,65,90
72 Technical trades and transportation officers and controllers,"46,515","44,540","1,975"
720 Technical trades contractors and supervisors,"7,840","7,030",810
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers","3,885","3,705",180
