Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
72404 Aircraft mechanics and aircraft inspectors,10,10,0
72405 Machine fitters,0,0,0
72406 Elevator constructors and mechanics,0,0,0
7241 Automotive service technicians,115,115,0
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers",115,115,0
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators",0,0,0
7242 Small engine and equipment mechanics and related repairers (including electrical components),30,30,0
72420 Oil and solid fuel heating mechanics,25,25,0
72421 Appliance servicers and repairers,0,0,0
72422 Electrical mechanics,0,0,0
"72423 Motorcycle, all-terrain vehicle and other related mechanics",0,0,0
72429 Other small engine and small equipment repairers,0,0,0
725 Technical equipment operation trades,0,0,0
7250 Crane operators and water well drillers,0,0,0
72500 Crane operators,0,0,0
72501 Water well drillers,0,0,0
726 Transportation officers and controllers,20,20,10
7260 Transportation officers and controllers,20,20,10
"72600 Air pilots, flight engineers and flying instructors",20,15,0
72601 Air traffic controllers and related occupations,10,10,0
"72602 Deck officers, water transport",0,0,0
"72603 Engineer officers, water transport",0,0,0
72604 Railway traffic controllers and marine traffic regulators,0,0,0
729 Other technical trades,0,0,0
7299 Other technical trades,0,0,0
72999 Other technical trades and related occupations,0,0,0
73 General trades,"1,140","1,035",105
