Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
62020 Food service supervisors,"10,285","4,065","6,220"
62021 Executive housekeepers,315,75,245
"62022 Accommodation, travel, tourism and related services supervisors","1,030",330,705
62023 Customer and information services supervisors,735,230,505
62024 Cleaning supervisors,"2,330","1,195","1,135"
62029 Other services supervisors,"1,295",850,450
621 Specialized sales occupations,"13,015","8,735","4,275"
6210 Technical sales specialists in wholesale trade and retail and wholesale buyers,"13,015","8,735","4,275"
62100 Technical sales specialists - wholesale trade,"9,015","7,110","1,905"
62101 Retail and wholesale buyers,"3,995","1,630","2,370"
622 Specialized services occupations,"8,800","6,350","2,450"
6220 Specialized occupations in services,"8,800","6,350","2,450"
62200 Chefs,"7,995","6,005","1,985"
62201 Funeral directors and embalmers,530,240,295
"62202 Jewellers, jewellery and watch repairers and related occupations",275,100,175
63 Occupations in sales and services,"77,665","30,885","46,780"
631 Occupations in sales,"26,570","11,410","15,160"
"6310 Insurance, real estate and financial sales occupations","26,570","11,410","15,160"
63100 Insurance agents and brokers,"9,400","3,440","5,960"
63101 Real estate agents and salespersons,"10,860","5,950","4,910"
63102 Financial sales representatives,"6,315","2,020","4,295"
632 Occupations in services,"51,095","19,475","31,620"
"6320 Cooks, butchers and bakers","29,850","16,440","13,410"
63200 Cooks,"23,515","14,165","9,350"
63201 Butchers - retail and wholesale,545,430,115
63202 Bakers,"5,790","1,845","3,945"
6321 Hairstylists and estheticians,"20,860","2,765","18,095"
63210 Hairstylists and barbers,"11,915","1,905","10,010"
"63211 Estheticians, electrologists and related occupations","8,945",860,"8,085"
"6322 Shoe repairers, shoemakers and upholsterers",390,275,115
63220 Shoe repairers and shoemakers,65,60,10
63221 Upholsterers,320,215,110
64 Sales and service representatives and other customer and personal services occupations,"160,040","68,175","91,870"
641 Retail salespersons and non-technical wholesale trade sales and account representatives,"95,360","42,555","52,810"
6410 Retail salespersons and non-technical wholesale trade sales and account representatives,"95,360","42,555","52,810"
64100 Retail salespersons and visual merchandisers,"87,885","37,490","50,390"
64101 Sales and account representatives - wholesale trade (non-technical),"7,480","5,060","2,415"
642 Occupations in personal service,"2,080",245,"1,840"
6420 Occupations in personal service,"2,080",245,"1,840"
"64200 Tailors, dressmakers, furriers and milliners","1,695",170,"1,535"
"64201 Image, social and other personal consultants",385,75,305
"643 Occupations in food, accommodation and tourism","18,020","5,330","12,690"
6430 Occupations in food and beverage service,"7,955","2,370","5,585"
64300 Maîtres d'hôtel and hosts/hostesses,"3,305",440,"2,860"
64301 Bartenders,"4,655","1,925","2,725"
6431 Occupations in travel and accommodation,"8,265","2,090","6,175"
64310 Travel counsellors,"1,985",385,"1,600"
64311 Pursers and flight attendants,"1,695",260,"1,435"
64312 Airline ticket and service agents,"1,635",465,"1,170"
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks",60,30,30
64314 Hotel front desk clerks,"2,890",955,"1,935"
6432 Tourism and amusement services occupations,"1,805",875,925
64320 Tour and travel guides,185,85,100
64321 Casino workers,"1,330",560,770
64322 Outdoor sport and recreational guides,285,230,55
